# From MPO250194
8034 Akka,e,2.0239,232.9908,68.0364,1.830777,0.3978789,0.40890871,132.9699,04/18.0/2013,2000,H17.8,0.15
# From MPO240267
8035 1992 TB,e,28.3074,185.6580,6.0347,1.341529,0.6343134,0.46214904,230.9040,04/18.0/2013,2000,H17.0,0.15
# From MPO202297
8037 1993 HO1,e,5.9079,22.4995,105.6339,1.986577,0.3520026,0.41776406,92.7913,04/18.0/2013,2000,H16.2,0.15
# From MPO200109
8176 1991 WA,e,39.6225,66.6166,241.8152,1.574741,0.4987588,0.64282243,326.2577,04/18.0/2013,2000,H16.8,0.15
# From MPO231468
8201 1994 AH2,e,9.5556,164.1560,25.0877,2.536762,0.2439409,0.70695339,255.4976,04/18.0/2013,2000,H15.8,0.15
# From MPO236441
8373 Stephengould,e,40.7921,88.8925,55.4285,3.281358,0.1658149,0.55428083,192.1440,04/18.0/2013,2000,H13.9,0.15
# From MPO253423
8507 1991 CB1,e,14.5862,317.4546,345.6598,1.686462,0.4500278,0.59483803,280.5180,04/18.0/2013,2000,H17.3,0.15
# From MPO193858
8566 1996 EN,e,37.9635,164.1715,125.0861,1.506396,0.5330839,0.43061651,11.1321,04/18.0/2013,2000,H16.3,0.15
# From MPO236442
8567 1996 HW1,e,8.4380,177.1782,177.0800,2.045483,0.3369073,0.44879689,204.9137,04/18.0/2013,2000,H15.3,0.15
# From MPO213919
8709 Kadlu,e,3.5129,119.2633,153.5195,2.530028,0.2449154,0.48826850,233.1339,04/18.0/2013,2000,H17.0,0.15
# From MPO240277
9058 1992 JB,e,16.0795,218.3871,306.9374,1.556631,0.5074878,0.35954253,313.3247,04/18.0/2013,2000,H17.5,0.15
# From MPO231476
9162 Kwiila,e,9.0147,180.1579,235.6478,1.496114,0.5385884,0.59545930,335.8971,04/18.0/2013,2000,H17.9,0.15
# From MPO253428
9172 Abhramu,e,7.8479,287.7225,74.1336,2.704833,0.2215610,0.55402494,108.8222,04/18.0/2013,2000,H16.3,0.15
# From MPO240278
9202 1993 PB,e,40.8246,315.9420,212.3042,1.423795,0.5801402,0.60735585,308.5096,04/18.0/2013,2000,H15.8,0.15
# From MPO229122
9400 1994 TW1,e,36.0202,3.5189,62.0978,2.591344,0.2362743,0.57810279,137.7210,04/18.0/2013,2000,H14.8,0.15
# From MPO171885
9767 Midsomer Norton,e,21.4928,331.3639,231.1174,3.384119,0.1583199,0.56888747,135.2995,04/18.0/2013,2000,H16.4,0.15
# From MPO202298
9856 1991 EE,e,9.7783,168.5469,115.6587,2.247163,0.2925851,0.62399330,162.4207,04/18.0/2013,2000,H17.4,0.15
# From MPO164083
9950 ESA,e,14.5877,253.8655,103.1797,2.441490,0.2583579,0.53010285,324.1281,04/18.0/2013,2000,H16.0,0.15
# From MPO253435
10115 1992 SK,e,15.3226,8.9496,233.6135,1.248436,0.7065694,0.32487817,356.8995,04/18.0/2013,2000,H17.0,0.15
# From MPO231483
10145 1994 CK1,e,4.5545,328.5535,27.2354,1.900964,0.3760479,0.63194307,208.9551,04/18.0/2013,2000,H16.9,0.15
# From MPO231483
10150 1994 PN,e,45.9500,113.0396,234.0795,2.376636,0.2690049,0.54171395,16.8016,04/18.0/2013,2000,H15.2,0.15
# From MPO250312
10165 1995 BL2,e,23.8953,312.4638,348.3990,1.234626,0.7184572,0.50381514,314.4478,04/18.0/2013,2000,H17.2,0.15
# From MPO244277
10302 1989 ML,e,4.3782,104.3578,183.3430,1.272163,0.6868946,0.13647044,202.5772,04/18.0/2013,2000,H19.3,0.15
# From MPO253439
10563 Izhdubar,e,63.4631,56.5701,132.1953,1.006887,0.9755133,0.26636213,329.6375,04/18.0/2013,2000,H16.8,0.15
# From MPO231486
